GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb.exceptions,TransactionAbortedException,0,5,0,0,0,2,0,1,0,1
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb.exceptions,Errors,0,132,0,0,0,15,0,2,0,2
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb.exceptions,QldbDriverException,5,55,0,0,1,11,1,7,1,7
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb.exceptions,TransactionAlreadyOpenException,0,4,0,0,0,2,0,1,0,1
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,RetryPolicyContext,6,15,0,0,2,6,2,2,2,2
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,TableNameIterable.TableNameIterator,0,48,0,2,0,11,0,4,0,3
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,Validate,6,21,0,2,2,3,1,2,1,1
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,RetryPolicy,0,44,0,0,0,16,0,6,0,6
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,StreamResult,0,67,0,4,0,16,0,7,0,5
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,QldbHash,118,160,21,13,20,37,20,11,5,9
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,QldbDriverImplBuilder,68,127,0,0,19,32,5,9,5,9
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,TransactionExecutor,6,25,0,0,1,7,1,5,1,5
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,ResultRetriever,5,153,1,13,1,36,1,11,0,5
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,ResultRetriever.ResultRetrieverRunnable,49,76,5,7,12,20,4,5,0,3
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,ExecutionContext,0,26,0,0,0,9,0,5,0,5
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,Transaction,12,229,0,8,2,60,1,17,1,13
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,Session,0,250,0,4,0,69,0,15,0,13
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,RetryPolicy.Builder,0,35,0,0,0,10,0,4,0,4
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,QldbSession,3,261,1,25,2,80,1,21,0,9
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,ResultRetriever.Retriever,0,27,0,0,0,8,0,2,0,2
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,StreamResult.IonIterator,0,30,0,0,0,8,0,4,0,4
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,QldbDriver,0,4,0,0,0,1,0,1,0,1
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,QldbDriverImpl,19,258,2,16,4,66,2,20,0,13
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,DefaultQldbTransactionBackoffStrategy,0,100,0,2,0,17,0,6,0,5
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,BufferedResult,0,27,0,0,0,7,0,3,0,3
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,ResultHolder,0,50,0,0,0,15,0,6,0,6
software.amazon.qldb:amazon-qldb-driver-java,software.amazon.qldb,TableNameIterable,0,25,0,2,0,7,0,4,0,3
